ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
1549,Gilaki,,37.33,50,gila1241,glk,,Gilaki,Indo-European,,,Indo-Uralic,Indo-Iranian,Iranian,Northwest Iranian,,,,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
1550,Galician,,43,-8,gali1258,glg,,Galician,Indo-European,,,Indo-Uralic,Italic-Celtic,Italic,,,,,,,,Eurasia,W and SW Eurasia,Europe,Eurasia
1551,Gula (Central African Republic),,9.5,22.5,gula1269,glu,,Gula (Central African Republic),Bongo-Bagirmi,,,Central Sudanic,,,,,,,,,,Africa,Africa,African Savannah,Africa
1552,Gumatj,,-12.5,135.5,guma1253,gnn,,"Gomadj, Gumait, Gumaj, Gumatj",Pama-Nyungan,,,Macro-Pama-Nyungan,Yolngu,,,,,,,,hg,Australia,Australia,N Australia,Pacific
1553,Gureng Gureng,,-25.25,151,gure1255,gnr,2859,Gureng Gureng,Pama-Nyungan,,,Macro-Pama-Nyungan,Waka-Kabic,,,,,,,,hg,Australia,Australia,S Australia,Pacific
1554,Guro,,7,-6,guro1248,goa,6470,Guro,Mande,,Niger-Kordofanian,Macro-Niger-Congo,East Mande,,,,,,,,,Africa,Africa,African Savannah,Africa
1555,Playero,,7,-71,play1240,gob,,Playero,Guahiboan,Guahiban,,,,,,,,,,,not hg,South America,S America,NE South America,Americas
1556,Godié,,5.42,-5.83,godi1239,god,2152; 2141,"Godie,Godié",Kru,,Niger-Kordofanian,Niger-Congo,East Kru,,,,,,,,,Africa,Africa,African Savannah,Africa
1557,Gogodala,,-8.08,142.83,gogo1265,ggw,,Gogodala,Suki-Gogodala,,Trans New Guinea,,,,,,,,,,not hg,Pacific,NG and Oceania,S New Guinea,Pacific
1558,Gola,,7.25,-10.83,gola1255,gol,,Gola,South Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
