LID,Glottocode,Language,ISO639_3,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,Longitude,Latitude,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
819,afad1236,Kotoko,aal,Kotoko,Chadic,,,Afroasiatic,Biu-Mandara (Central Chadic),,,,,15.33,11.33,,,,,Africa,Africa,African Savannah,Africa
820,abau1245,Abau,aau,Abau,Sepik,,,,,,,,,141.25,-4,,,,not hg,Pacific,NG and Oceania,N Coast New Guinea,Pacific
821,bank1256,Bankon,abb,Bankon,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,9.58,4.42,,,,,Africa,Africa,African Savannah,Africa
822,west2630,Abenaki (Western),abe,Abenaki (Western),Algic,,,,Algonquian,,,,,-72.25,44,,,,hg,North America,E N America,E North America,Americas
823,abid1235,Abidji,abi,Abidji,Kwa,,Niger-Kordofanian,Niger-Congo,,,,,,-4.58,5.67,,,,,Africa,Africa,African Savannah,Africa
824,abaz1241,Abaza,abq,Abaza,West Caucasian,,,,Abkhazian-Ubykh,,,Abkhaz-Abaza,,42,44,Caucasus,,,,Eurasia,W and SW Eurasia,Greater Mesopotamia,Eurasia
825,acha1250,Achagua,aca,Achagua,Arawakan,Maipurean,,,,,,,,-72.25,4.42,,,,,South America,S America,NE South America,Americas
826,achi1256,Achí,acr,"Achi,Achí",Mayan,,,,Quichean-Mamean (Eastern Maya),Quichean,,,,-90.5,15.17,,,,,North America,C America,Mesoamerica,Americas
827,akab1249,Aka-Biada,abj,"Aka-Biada, Aka-Bea, Aka-Beada, Akabea",Great Andamanese,,,Andamanese,Great Andamanese,,,,,92.5,11.67,,,,hg,Eurasia,S/SE Asia,Southeast Asia,Eurasia
828,achu1247,Achumawi,acv,Achumawi,Palaihninan,,,,,,,,,-121,41.5,,,,hg,North America,W N America,Basin and Plains,Americas
829,akac1240,Aka-Cari,aci,Aka-Cari,Great Andamanese,,,Andamanese,Great Andamanese,,,,,93,13.5,,,,hg,Eurasia,S/SE Asia,Southeast Asia,Eurasia
830,meso1252,Arabic (Iraqi),acm,Arabic (Iraqi),Semitic,,,Afroasiatic,West Semitic,Central (West Semitic),South-Central Semitic,Arabic,,44,33,,,,,Africa,W and SW Eurasia,Greater Mesopotamia,Eurasia
831,acha1249,Achang,acn,Achang,Sino-Tibetan,,,,Lolo-Burmese,Burmish,,,,98.5,25,,,,,Eurasia,S/SE Asia,Southeast Asia,Eurasia
832,achu1248,Achuar,acu,Achuar,Jivaroan,,,,,,,,,-76,-3,,,,,South America,S America,NE South America,Americas
833,hija1235,Arabic (Hijazi),acw,Arabic (Hijazi),Semitic,,,Afroasiatic,West Semitic,Central (West Semitic),South-Central Semitic,Arabic,,38,26,,,,,Africa,W and SW Eurasia,Greater Mesopotamia,Eurasia
834,cypr1248,Arabic (Kormakiti),acy,"Arabic (Kormakiti), Arabic (Cypriot)",Semitic,,,Afroasiatic,West Semitic,Central (West Semitic),South-Central Semitic,Arabic,,33.5,35.25,,,,,Africa,W and SW Eurasia,Greater Mesopotamia,Eurasia
